"","eruptionID","geyser","eruption_time_epoch","has_seconds","exact","ns","ie","E","A","wc","ini","maj","min","q","duration","entrant","observer","eruption_comment","time_updated","time_entered","associated_primaryID","other_comments","Old_Faithful_Preplay_Time_VEC","Old_Faithful_Height_VEC"
"71","23662","Old Faithful","11208660",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23662,"NULL","NULL","NULL"
"72","23663","Old Faithful","11213400",0,"1","0","0",0,0,0,0,0,1,0,"2.25m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23663,"NULL","NULL","NULL"
"73","23664","Old Faithful","11216640",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23664,"NULL","NULL","NULL"
"74","23665","Old Faithful","11221440",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23665,"NULL","NULL","NULL"
"75","23666","Old Faithful","11225220",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329149,1335329149,23666,"NULL","NULL","NULL"
"76","23669","Old Faithful","11282760",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23669,"NULL","NULL","NULL"
"77","23670","Old Faithful","11285340",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23670,"NULL","NULL","NULL"
"78","23671","Old Faithful","11290320",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23671,"NULL","NULL","NULL"
"79","23672","Old Faithful","11292960",0,"1","0","0",0,0,0,0,1,0,0,"4.25m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23672,"NULL","NULL","NULL"
"80","23673","Old Faithful","11297280",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23673,"NULL","NULL","NULL"
"81","23674","Old Faithful","11300940",0,"1","0","0",0,0,0,0,1,0,0,"4m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23674,"NULL","NULL","NULL"
"82","23675","Old Faithful","11304900",0,"1","0","0",0,0,0,0,0,1,0,"2.75m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23675,"NULL","NULL","NULL"
"83","23676","Old Faithful","11308500",0,"1","0","0",0,0,0,0,1,0,0,"4.5m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23676,"NULL","NULL","NULL"
"84","23677","Old Faithful","11313360",0,"1","0","0",0,0,0,0,0,1,0,"2m","BoekelUpload","OFVCL-EV","",1335329465,1335329465,23677,"NULL","NULL","NULL"
"85","23679","Old Faithful","11379420",0,"1","0","0",0,0,0,0,0,1,0,"2.75m","BoekelUpload","OFVCL-EV","",1335329507,1335329507,23679,"NULL","NULL","NULL"
"86","23680","Old Faithful","11383260",0,"1","0","0",0,0,0,0,1,0,0,"4.5m","BoekelUpload","OFVCL-EV","",1335329507,1335329507,23680,"NULL","NULL","NULL"
